id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
92,1934,Commissioned for Coit Tower,9' X 34',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,egg tempura,egg tempura,"Berlandina, Jane",Home Life
93,1934,Works Progress Administration,,"37.7478586,-122.4556651",Public Display,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,"pigment, oil",pigment grounds in linseed oil,"Wessels, Glenn","Fire, Earth, Water, Air, The Professions"
94,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Hesthal, William",Railroad and Shipping
95,1934,Commissioned for Coit Tower,10' X 4',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Wight, Clifford",Surveyor and Steelworker
96,1934,Commissioned for Coit Tower,10' X 36',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Stackpole, Ralph",Industries of California
97,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Scheuer, Suzanne",Newsgathering
98,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Zakheim, Bernard Baruch",Library
99,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Dean, Mallette (Harold)",Stockbroker and Scientist-Inventor
100,1934,Public Works of Art Project (PWAP),10' X 36',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Arnautoff, Victor Mikhail",City Life
101,1935,Purchased by the San Francisco Art Commission for Fleishhacker Park.,"5'6"" tall","37.7683778,-122.4571623",Public Display,District 1,Golden Gate Park,Children's Playground,San Francisco Arts Commission,limestone,indiana limestone,"VonMeyer, Michael",The Child
102,1935,George Washington High School,4' X 6',"37.7774299,-122.491083",Public Display,District 1,Washington High School,,San Francisco Arts Commission,concrete,cast concrete,"Arnautoff, Victor Mikhail",Edison (1847-1931) Washington (1732-1799) and Shakespeare (1564-1616)
103,1935,,1600 square feet,"37.7774299,-122.491083",Public Display,District 1,Washington High School,main entrance,San Francisco Arts Commission,fresco,fresco,"Arnautoff, Victor",The Life of George Washington
104,1936,Purchased by the San Francisco Art Commission for the St. Mary's Plaza.,,"37.7921253,-122.4051364",Public Display,District 3,St. Mary's Square,,San Francisco Arts Commission,"steel, granite",stainless steel and rose-red granite,"Bufano, Beniamino",Sun Yat-Sen
105,1936,WPA Mural Project for the Beach Chalet at Golden Gate Park,,"37.767879,-122.510284",Public Display,District 1,Golden Gate Park,Beach Chalet,San Francisco Arts Commission,fresco,fresco,"Labaudt, Lucien",People and Places of San Francisco
106,1936,WPA Mural Project for Washington High School,66 in. x 324 in.,"37.777571, -122.491120",Public Display,District 1,Washington High School,Library,San Francisco Arts Commission,fresco,fresco panel,"Labaudt, Lucien",Advancement of Learning through the Printing Press
107,1936,WPA Mural Project for Washington High School,66 in. x 324 in.,"37.777571, -122.491120",Public Display,District 1,Washington High School,Library,San Francisco Arts Commission,fresco,fresco panel,"Stackpole, Ralph",Contemporary Education
108,1936,WPA Mural Project for the Mothers' House at the Fleishhacker Zoo,,"37.7336173,-122.5049211",Public Display,District 4,San Francisco Zoo,Mother's Building,San Francisco Arts Commission,fresco,fresco,"Cravath, Dorothy and Forbes, Helen",Noah's Ark
109,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Sea
110,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Land
111,1936,Purchased for the San Francisco Main Library,6' X 11',"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Piazzoni, Gottardo Fidele Ponziano",The Mountains
112,1936,Purchased for the San Francisco Main Library,6' X 11',"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Piazzoni, Gottardo Fidele Ponziano",The Forests
113,1936,Purchased for the San Francisco Main Library,6' X 11',"37.771673,-122.467485",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Piazzoni, Gottardo Fidele Ponziano",Night
114,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Sea
115,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Sea
116,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Sea
117,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Sea
118,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Land
119,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Land
120,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Land
121,1936,Purchased for the San Francisco Main Library,,"37.771503,-122.467646",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,oil,oil,"Piazzoni, Gottardo Fidele Ponziano",The Land
122,1936,Purchased by the San Francisco Art Commission for City Hall.,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,1st Floor,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig","James Rolph, Jr. (1869-1934)"
123,1937,Purchased by the San Francisco Art Commission for City Hall,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,1st Floor,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",James D. Phelan (1861-1930)
124,1937,Located at southwest corner of 19th Avenue and Ulloa.,"18"" X 36""","37.7411866,-122.4754828",Public Display,District 4,19th Ave.,"at Ulloa, SW corner",San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Carl G. Larsen
125,1937,Purchased by the San Francisco Art Commission for Christmas Tree Point.,"2' H; base 1' X 3' X 22""","37.7238942,-122.4792744",Public Display,District 7,San Francisco State University,Main Quad,San Francisco Arts Commission,marble,red marble,"Bufano, Beniamino",Head of St.Francis
126,1938,"Placed in front of the main entrance of Laguna Honda Home, 7th Avenue and Dewey",8' H,"37.7478586,-122.4556651",Public Display,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,stone,cast stone,"Edstrom, David",Florence Nightingale (1820-1910)
