id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
256,1981,"Gilliam, Sam",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Convention Center,9 1/2' H X 20 'W X 5' D,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : Moscone Center : Mezzanine Level,"Enamel, epoxy resin, fiberglass, welded steel, aluminum sheeting","enamel, epoxy resin, fiberglass, welded steel, aluminum sheeting",San Francisco Arts Commission,Tholos Across
257,1982,"Hudson, Robert",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"90"" H X 220"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Level 2 : T2 connector,Acrylic on canvas,acrylic on canvas,San Francisco Arts Commission,A Horse of Another Color
258,1982,"Choi, Man Lin",ca. 1982,Gift from the Korean Government,"77"" H X 94"" W X 65"" D","-122.3916833,37.795664","37.795664,-122.3916833","Public Display : District 3 : Ferry Park, Embarcadero",Bronze,bronze,San Francisco Arts Commission,Movement: The First 100 Years
259,1982,"Quagliata, Narcissus",01/01/1970 12:33:02 AM +0000,Commissioned by the San Francisco Art Commission for the North Shore Pump Station,8' X 22',"-122.4054085,37.7975529","37.7975529,-122.4054085",Public Display : District 3 : North Shore Pump Station : Embarcadero & Kearny St,Stained glass,stained glass,San Francisco Arts Commission,Untitled
260,1983,"Shunkai, Bundo",1983?,Gift of Mike Iwasaki to commemorate peace and amity between the U.S. and Japan.,,"-122.5056701,37.78773899999999","37.787739,-122.5056701",Public Display : District 1 : Land's End,Black granite,black granite,San Francisco Arts Commission,Peace Monument
261,1984,"Tamayo, Rufino",01/01/1970 12:33:03 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,384 in. x 120 in. x 144 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : Storage,Paint,paint,San Francisco Arts Commission,"Conquest of Space, 1983"
262,1984,"Lands, Christine Marie",ca. 1984,,,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : Presidio Library, reading room",Acrylic,acrylic,San Francisco Arts Commission,Before the Revolution
263,1984,"Bufano, Beniamino",,,,"-122.4319047,37.7640543","37.7640543,-122.4319047",City Department : Eureka Valley Library,Granite (?),granite (?),San Francisco Arts Commission,Torso
264,1984,"Rios, Michael",01/01/1970 12:32:54 AM +0000,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,"96 X 240""","-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : 4th Floor Terace,Mosaic-tile,mosaic-tile,San Francisco Arts Commission,Untitled
265,1984,"Qizhan, Zhu",01/01/1970 12:33:02 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"16' H X 6' 2"" W Framed","-122.4163842,37.7802635","37.7802635,-122.4163842",Museum : Asian Art Museum,Ink and watercolor on paper on silk mounting,ink and watercolor on paper on silk mounting,San Francisco Arts Commission,Grapevine
266,1984,"O'banion, Nance",01/01/1970 12:33:02 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,12' H X 15' W,"-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Gate 81,"Abaca paper, acrylic medium, bamboo, waxed cotton and wire","abaca paper, acrylic medium, bamboo, waxed cotton and wire",San Francisco Arts Commission,Billboard Series: Exploded Transverse with no Nuggies
267,1984,"Uehara, Kinji",01/01/1970 12:32:45 AM +0000,"Gift of Nagoya, Japan to the San Francisco Art Commission",,"-122.389979,37.615223","37.615223,-122.389979",Airport : Principal Property Manager's Office,Oil,oil,San Francisco Arts Commission,The Red Horizon
268,1984,"Sells, Raymond",01/01/1970 12:32:52 AM +0000,Purchased by the San Francisco Art Commission for the Hall of Justice.,"30"" H; 7' in diameter each","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 6 : 850 Bryant, Main entrance",Cast aggregate,cast aggregate,San Francisco Arts Commission,Untitled (Planter)
269,1984,"Sells, Raymond",01/01/1970 12:32:52 AM +0000,Purchased by the San Francisco Art Commission for the Hall of Justice.,,"-122.403768,37.775252","37.775252,-122.403768","Public Display : District 6 : 850 Bryant, main entrance",Cast aggregate,cast aggregate,San Francisco Arts Commission,Untitled (Planter)
270,1984,"Villegas, Victor Hugo Barranechea",01/01/1970 12:33:01 AM +0000,Gift of the President of Venezuela to the City of San Francisco.,25' H,"-110.9987805,29.1126824","29.1126824,-110.9987805","Public Display : District 6 : UN Plaza, West end",Bronze,bronze,San Francisco Arts Commission,Simon Bolivar
271,1984,"Kozloff, Joyce",01/01/1970 12:33:03 AM +0000,Purchased by the San Francisco Arts Commission for the San Francisco International Airport; Collection of the City and County of San Francisco,10' H X 51' W overall (3 panels),"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : South Pedestrian Bridge,Ceramic tile and glass.,ceramic tile and glass.,San Francisco Arts Commission,"Bay Area Victorian, Bay Area Deco, Bay Area Funk"
272,1984,"Segal, George",01/01/1970 12:33:02 AM +0000,Commissioned by the Mayor's Committee for a Memorial to the Six Million Victims of the Holocaust,66 in. x 144 in. x 144 in.,"-122.5056701,37.78773899999999","37.787739,-122.5056701",Public Display : District 1 : Lincoln Park : Land's End,Cast and painted bronze and wire,cast and painted bronze and wire,San Francisco Arts Commission,The Holocaust
273,1984,"Kunishima, Seiji",01/01/1970 12:33:03 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,12' H X 4 1/4' W X 3 1/2' D,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 1,Nose Stone,nose stone,San Francisco Arts Commission,Stacking Stones
274,1984,"Snyder, Dan",01/01/1970 12:33:03 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"8' H X 30"" W approx.","-122.389979,37.615223","37.615223,-122.389979","Airport : Terminal 2 : Arrivals, Rear Wall",Polyurethane paint on aluminum,polyurethane paint on aluminum,San Francisco Arts Commission,"Welcome North, Welcome South, Welcome East, Welcome West"
275,1985,"Pomodoro, Arnaldo",01/01/1970 12:33:03 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"192"" H X 18""diameter","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Stairway from Arrivals to Departures,cast bronze,cast bronze,San Francisco Arts Commission,Cilindro Costruito
276,1985,"Asawa, Ruth",01/01/1970 12:33:04 AM +0000,,,"-122.412595,37.783933","37.783933,-122.412595","Public Display : District 6 : Father Boeddeker Park, Eddy and Jones",Glass fiber reinforced concrete,glass fiber reinforced concrete,San Francisco Arts Commission,"Redding School, Self-Portrait"
277,1985,"Fuller (Mcchesney), Mary",01/01/1970 12:33:04 AM +0000,Commissioned by the Art Commission Funded in part by Tamarach Foundation,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,Cast concrete,cast concrete,San Francisco Arts Commission,"Tiger, Ram, Serpent, Monkey, Rabbit, Dragon"
278,1985,"Fuller (Mcchesney), Mary",01/01/1970 12:33:04 AM +0000,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,Cast concrete,cast concrete,San Francisco Arts Commission,Ram
279,1985,"Fuller (Mcchesney), Mary",01/01/1970 12:33:04 AM +0000,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 1 : Portsmouth Square,Cast concrete,cast concrete,San Francisco Arts Commission,Serpent
280,1985,"Fuller (Mcchesney), Mary",01/01/1970 12:33:04 AM +0000,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,Cast concrete,cast concrete,San Francisco Arts Commission,Monkey
281,1985,"Fuller (Mcchesney), Mary",01/01/1970 12:33:04 AM +0000,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,Cast concrete,cast concrete,San Francisco Arts Commission,Rabbit
282,1985,"Fuller (Mcchesney), Mary",01/01/1970 12:33:04 AM +0000,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,Cast concrete,cast concrete,San Francisco Arts Commission,Dragon
283,1985,"Slusky, Joseph",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Plant,"123"" H X 103"" W X 144""D","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : San Andreas Water Facility : Millbrae,Acrylic lacquer paint on steel,acrylic lacquer paint on steel,San Francisco Arts Commission,Calypso
284,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
285,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
286,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
287,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4'W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
288,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
289,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
290,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
291,1985,"Garza, Carmen Lomas",01/01/1970 12:33:04 AM +0000,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : Millbrae Facility,Acrylic on masonite,acrylic on masonite,San Francisco Arts Commission,The History of Northern California Water
292,1985,"Boyce, Roger",01/01/1970 12:33:05 AM +0000,Purchased by the San Francisco Art Commission for the Mission Recreation Center,"96"" H X 48"" W","-122.412999,37.75820100000001","37.758201,-122.412999",Public Display : District 9 : Mission Rec. Center : 2450 Harrison St. : Upstairs,Oil enamels,oil enamels,San Francisco Arts Commission,Untitled
293,1985,"Barr, Roger",01/01/1970 12:33:05 AM +0000,Purchased by the San Francisco Art Commission for Pier 39,25' H X 20 W,"-122.411934,37.809079","37.809079,-122.411934","Public Display : District 3 : Waterfront, between Piers 35 and 39",Mirror finished stainless steel Type 316 L,mirror finished stainless steel type 316 l,San Francisco Arts Commission,Skygate
294,1985,"Shuler, Dustin",01/01/1970 12:33:05 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Parking Garage,11' H X 15' W approx.,"-122.3994074,37.784337","37.784337,-122.3994074",City Department : DPT : Moscone Parking Garage : Facade,Painted steel,painted steel,San Francisco Arts Commission,Spider Pelt
295,1985,"Brown, Joan",01/01/1970 12:33:05 AM +0000,Purchased by the San Francisco Art Commission for the Performing Arts Garage,"144"" H","-122.421525,37.7780273","37.7780273,-122.421525","Public Display : District 6 : Performing Arts Garage facade, Grove and Franklin",Bronze,bronze,San Francisco Arts Commission,The Dancing Musicians
296,1985,"Potts, Don",01/01/1970 12:33:02 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall : South Light Court,Basswood with Plexiglas windows,basswood with plexiglas windows,San Francisco Arts Commission,Hallidie Building
297,1985,"Potts, Don",01/01/1970 12:33:02 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall : South Light Court,Maplewood,maplewood,San Francisco Arts Commission,"San Francisco Victorian, Italianate Style"
298,1985,"Potts, Don",01/01/1970 12:33:02 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall : South Light Court,Mahogany and basswood,mahogany and basswood,San Francisco Arts Commission,Pylon of the Golden Gate Bridge
299,1985,"Potts, Don",01/01/1970 12:33:02 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall : South Light Court,Maplewood and basswood,maplewood and basswood,San Francisco Arts Commission,City Hall Dome
300,1985,"Downie, Romana Anzi",01/01/1970 12:33:02 AM +0000,Gift of Brooks Camera,,"-122.415783,37.778864","37.778864,-122.415783",Public Display : District 6 : SFPL : History Center : 6th Floor,Cast bronze,cast bronze,San Francisco Arts Commission,Bust of George Moscone
